concat,invoice_number,invoice_date,sku,billed_qty,gross_price,oi_deal,promo_allowance,cash_discount,freight_amount,others,net_price,gross_price_per_qty,net_price_per_qty,fuel_allowance,lane,freight_rate,freight_weight,gross_weight,total_freight,order_number,bol,carrier,freight_type,invoice_status
9.03287E+19,9032872199,7/11/2023,2700041909,72,"1,080.00",0,0,0,0,4,"1,076.00",15,14.94,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,2700041911,72,"1,080.00",0,0,0,0,4,"1,076.00",15,14.94,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,2700041913,144,"2,160.00",0,0,0,0,7.99,"2,152.01",15,14.94,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,2700041916,72,"1,080.00",0,0,0,0,4,"1,076.00",15,14.94,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,2700041918,72,"1,080.00",0,0,0,0,4,"1,076.00",15,14.94,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,2700041920,144,"2,160.00",0,0,0,0,7.99,"2,152.01",15,14.94,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,2700041922,72,"1,080.00",0,0,0,0,4,"1,076.00",15,14.94,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,2700049018,21,653.94,0,0,0,0,2.42,651.52,31.14,31.02,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,2700050010,112,"2,110.08",0,0,0,0,7.81,"2,102.27",18.84,18.77,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,3900008669,10,211.2,0,0,0,0,0.78,210.42,21.12,21.04,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,3900060020,32,537.6,0,0,0,0,1.99,535.61,16.8,16.74,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,4132100580,43,784.32,0,0,0,0,2.9,781.42,18.24,18.17,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,4132100635,43,784.32,0,0,0,0,2.9,781.42,18.24,18.17,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,4132100648,86,"1,568.64",0,0,0,0,5.8,"1,562.84",18.24,18.17,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,4132100655,86,"1,568.64",0,0,0,0,5.8,"1,562.84",18.24,18.17,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,4132130181,28,687.12,0,0,0,0,2.54,684.58,24.54,24.45,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,4430012082,45,661.5,0,0,0,0,2.45,659.05,14.7,14.65,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,5110007903,14,467.04,0,0,0,0,1.73,465.31,33.36,33.24,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,5110089006,14,645.12,0,0,0,0,2.39,642.73,46.08,45.91,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,5410000562,252,"4,218.48",0,0,0,0,15.61,"4,202.87",16.74,16.68,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,5410001280,40,669.6,0,0,0,0,2.48,667.12,16.74,16.68,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,5410001315,40,686.4,0,0,0,0,2.54,683.86,17.16,17.1,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,5410011750,20,686.4,0,0,0,0,2.54,683.86,34.32,34.19,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,5410092502,30,"1,368.00",0,0,0,0,5.06,"1,362.94",45.6,45.43,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,5410097765,45,756,0,0,0,0,2.8,753.2,16.8,16.74,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,6414404225,96,"2,718.72",0,0,0,0,10.06,"2,708.66",28.32,28.22,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,6414404236,32,395.52,0,0,0,0,1.46,394.06,12.36,12.31,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,6414404820,16,312.96,0,0,0,0,1.16,311.8,19.56,19.49,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,7092047909,15,477.6,0,0,0,0,1.77,475.83,31.84,31.72,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,7615023214,21,376.74,0,0,0,0,1.39,375.35,17.94,17.87,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,4420900406,30,477.6,0,0,0,0,1.77,475.83,15.92,15.86,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,4420912231,25,375,0,0,0,0,1.39,373.61,15,14.94,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,4420929047,12,482.4,0,0,0,0,1.78,480.62,40.2,40.05,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,4420930756,22,541.2,0,0,0,0,2,539.2,24.6,24.51,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03287E+19,9032872199,7/11/2023,4420947107,15,238.8,0,0,0,0,0.88,237.92,15.92,15.86,0,A,0,0,"36,716.22",723.32,61558771,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03403E+19,9034032928,5/13/2024,7495618057,480,"24,537.60",0,0,0,0,169.31,"24,368.29",51.12,50.77,0,A,0,0,"9,992.24",0,17970,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03403E+19,9034032928,5/13/2024,7495618056,102,"5,214.24",0,0,0,0,35.98,"5,178.26",51.12,50.77,0,A,0,0,"9,992.24",0,17970,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03403E+19,9034032928,5/13/2024,7495618440,56,"5,342.40",0,0,0,0,36.86,"5,305.54",95.4,94.74,0,A,0,0,"9,992.24",0,17970,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03403E+19,9034032928,5/13/2024,7495628400,140,"7,812.00",0,0,0,0,53.9,"7,758.10",55.8,55.42,0,A,0,0,"9,992.24",0,17970,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03403E+19,9034032928,5/13/2024,7495628300,272,"15,177.60",0,0,0,0,104.73,"15,072.87",55.8,55.41,0,A,0,0,"9,992.24",0,17970,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03225E+19,9032253760,1/19/2023,1570005792,45,936.45,0,0,0,0,0,936.45,20.81,20.81,0,A,0,0,"2,570.16",0,22782050,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03225E+19,9032253760,1/19/2023,1570005794,18,374.58,0,0,0,0,0,374.58,20.81,20.81,0,A,0,0,"2,570.16",0,22782050,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03225E+19,9032253760,1/19/2023,1570005791,135,"2,809.35",0,0,0,0,0,"2,809.35",20.81,20.81,0,A,0,0,"2,570.16",0,22782050,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03225E+19,9032253760,1/19/2023,7495618463,10,992.8,0,0,0,0,0,992.8,99.28,99.28,0,A,0,0,"2,570.16",0,22782050,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03256E+18,9032555371,4/12/2023,389843519,"2,279.10","16,249.98",478.61,0,0,0,325,"15,446.37",7.13,6.78,0,A,0,0,"2,279.10",0,2630209096,-,CUSTOMER PICKUP DEFAULT SCAC / CPU - No,CPU,Yes
9.03289E+19,9032885705,7/17/2023,7495618440,210,"20,034.00",0,0,0,0,138.23,"19,895.77",95.4,94.74,0,A,0,0,"8,016.38",471.85,48492,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03289E+19,9032885705,7/17/2023,7495628400,160,"8,928.00",0,0,0,0,61.6,"8,866.40",55.8,55.42,0,A,0,0,"8,016.38",471.85,48492,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03289E+19,9032885705,7/17/2023,7495618057,135,"6,901.20",0,0,0,0,47.62,"6,853.58",51.12,50.77,0,A,0,0,"8,016.38",471.85,48492,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03289E+19,9032885705,7/17/2023,7495628300,119,"6,640.20",0,0,0,0,45.82,"6,594.38",55.8,55.41,0,A,0,0,"8,016.38",471.85,48492,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03411E+19,9034105265,6/4/2024,4690073190,9,"11,301.12","1,166.40",0,0,0,41.81,"10,092.91","1,255.68","1,121.43",0,A,0,0,"11,035.38",0,41788,-,/ CPU,CPU,Yes
9.03329E+19,9033292135,10/31/2023,7027223202,"1,760.00","60,614.40","11,052.80",0,0,0,466.73,"49,094.87",34.44,27.89,0,A,0,0,"33,725.18","1,224.22",226992,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03329E+19,9033292135,10/31/2023,7027223203,"1,455.00","50,110.20","9,137.40",0,0,0,385.85,"40,586.95",34.44,27.89,0,A,0,0,"33,725.18","1,224.22",226992,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03329E+19,9033292135,10/31/2023,7027223204,700,"38,892.00","3,185.00",0,0,0,299.47,"35,407.53",55.56,50.58,0,A,0,0,"33,725.18","1,224.22",226992,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03396E+19,9033957189,4/23/2024,2113130267,270,"6,307.20",86.4,0,0,0,25.23,"6,195.57",23.36,22.95,0,A,0,0,"1,921.86",0,84470,-,/ CPU,CPU,Yes
9.03218E+19,9032181182,12/29/2022,1570005794,36,734.4,0,0,0,0,0,734.4,20.4,20.4,0,A,0,0,"4,730.33",78.52,21825740,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03218E+19,9032181182,12/29/2022,2900003449,48,"4,611.84",0,0,0,0,0,"4,611.84",96.08,96.08,0,A,0,0,"4,730.33",78.52,21825740,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03218E+19,9032181182,12/29/2022,7495618466,10,992.8,0,0,0,0,0,992.8,99.28,99.28,0,A,0,0,"4,730.33",78.52,21825740,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03218E+19,9032181182,12/29/2022,7495618463,20,"1,985.60",0,0,0,0,0,"1,985.60",99.28,99.28,0,A,0,0,"4,730.33",78.52,21825740,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03218E+19,9032181182,12/29/2022,7495619373,80,621.6,0,0,0,0,0,621.6,7.77,7.77,0,A,0,0,"4,730.33",78.52,21825740,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03218E+19,9032181182,12/29/2022,7027249138,80,"3,367.20",0,0,0,0,0,"3,367.20",42.09,42.09,0,A,0,0,"4,730.33",78.52,21825740,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03408E+19,9034079098,5/24/2024,7495618057,480,"24,537.60",0,0,0,0,169.31,"24,368.29",51.12,50.77,0,A,0,0,"11,372.14",0,23613,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03408E+19,9034079098,5/24/2024,7495618056,102,"5,214.24",0,0,0,0,35.98,"5,178.26",51.12,50.77,0,A,0,0,"11,372.14",0,23613,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03408E+19,9034079098,5/24/2024,7495618440,112,"10,684.80",0,0,0,0,73.73,"10,611.07",95.4,94.74,0,A,0,0,"11,372.14",0,23613,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03408E+19,9034079098,5/24/2024,7495628400,280,"15,624.00",0,0,0,0,107.81,"15,516.19",55.8,55.41,0,A,0,0,"11,372.14",0,23613,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03408E+19,9034079098,5/24/2024,7495628300,136,"7,588.80",0,0,0,0,52.36,"7,536.44",55.8,55.42,0,A,0,0,"11,372.14",0,23613,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03221E+19,9032205322,1/5/2023,2900003449,24,"2,305.92",0,0,0,0,0,"2,305.92",96.08,96.08,0,A,0,0,"7,168.86",119.01,22422680,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03221E+19,9032205322,1/5/2023,7495618466,20,"1,985.60",0,0,0,0,0,"1,985.60",99.28,99.28,0,A,0,0,"7,168.86",119.01,22422680,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03221E+19,9032205322,1/5/2023,7495618463,50,"4,964.00",0,0,0,0,0,"4,964.00",99.28,99.28,0,A,0,0,"7,168.86",119.01,22422680,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03221E+19,9032205322,1/5/2023,7495618543,20,"1,985.60",0,0,0,0,0,"1,985.60",99.28,99.28,0,A,0,0,"7,168.86",119.01,22422680,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03221E+19,9032205322,1/5/2023,7495619373,40,"4,680.49",0,0,0,0,0,"4,680.49",117.01,117.01,0,A,0,0,"7,168.86",119.01,22422680,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.03221E+19,9032205322,1/5/2023,7027249138,240,"10,101.60",0,0,0,0,0,"10,101.60",42.09,42.09,0,A,0,0,"7,168.86",119.01,22422680,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.0329E+19,9032896894,7/18/2023,1960004580,1,15.84,0,0,0,0.77,0,15.07,15.84,15.07,0,A,13,0,"10,552.18",0,795123-001,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.0329E+19,9032896894,7/18/2023,4223400051,30,864,0,0,0,19.77,0,844.23,28.8,28.14,0,A,13,0,"10,552.18",0,795123-001,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.0329E+19,9032896894,7/18/2023,4223400074,40,"1,152.00",0,0,0,30.94,0,"1,121.06",28.8,28.03,0,A,13,0,"10,552.18",0,795123-001,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
9.0329E+19,9032896894,7/18/2023,4223400082,40,"1,145.60",0,0,0,34.26,0,"1,111.34",28.64,27.78,0,A,13,0,"10,552.18",0,795123-001,-,CUSTOMER PICKUP DEFAULT SCAC / CPU,CPU,Yes
