id,standard_customer,invoice_number,sku,deducted_amount,deducted_qty,deducted_price_per_qty,deduction_date,invoice_location,reason_code,sub_reason_code,deduction_reason,backup_status,
615642,Kroger,9031739070,-,385.4,1,385.4,27-09-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
620382,Kroger,9031741639,-,307.8,1,307.8,28-09-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
620395,Kroger,9031741645,-,381.93,1,381.93,28-09-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
615669,Kroger,9031743411,-,200.91,1,200.91,28-09-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031743419,-,320.34,1,320.34,28-09-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
615676,Kroger,9031743457,-,213.64,1,213.64,28-09-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
615602,Kroger,9031746264,-,312.97,1,312.97,29-09-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
615624,Kroger,9031747941,-,351.03,1,351.03,29-09-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031748418,-,378.59,1,378.59,29-09-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031749105,-,382.59,1,382.59,30-09-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
615705,Kroger,9031750070,-,139.31,1,139.31,27-09-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
615692,Kroger,9031763235,-,336.73,1,336.73,5/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031763615,-,321.34,1,321.34,5/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
615696,Kroger,9031763880,-,366.54,1,366.54,5/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
615711,Kroger,9031768421,-,209.93,1,209.93,6/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031768439,-,398.46,1,398.46,6/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
620416,Kroger,9031768490,-,340.82,1,340.82,6/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031769636,-,373.22,1,373.22,7/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
620374,Kroger,9031779074,-,380.32,1,380.32,11/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031780631,-,327.35,1,327.35,11/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031780632,-,369.86,1,369.86,11/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
615618,Kroger,9031780643,-,323.4,1,323.4,11/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
620378,Kroger,9031782821,-,399.33,1,399.33,11/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
620391,Kroger,9031791433,-,347.92,1,347.92,12/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
620405,Kroger,9031791455,-,340.8,1,340.8,13-10-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
620387,Kroger,9031792246,-,345.03,1,345.03,12/10/2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031793056,-,110.92,1,110.92,13-10-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
620402,Kroger,9031793863,-,161.99,1,161.99,13-10-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
620408,Kroger,9031794281,-,298.86,1,298.86,14-10-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031800289,-,349.75,1,349.75,14-10-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9031805784,-,64.33,1,64.33,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
333728,C&S,9031873065,-,300.39,1,300.39,25-10-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9031918862,-,105.5,1,105.5,16-11-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
VEN0251170,AWG,9031965833,-,350.68,1,350.68,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9031967490,-,212.96,1,212.96,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
VEN0251191,AWG,9031967490,-,304.88,1,304.88,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
333720,C&S,9032018451,-,300.89,1,300.89,30-11-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032033305,-,151.29,1,151.29,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032045442,-,348.58,1,348.58,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
VEN0251173,AWG,9032045442,-,235.01,1,235.01,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,AWG,9032094268,-,207.75,1,207.75,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
VEN0251188,AWG,9032094268,-,343.17,1,343.17,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,AWG,9032099591,-,253.68,1,253.68,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
VEN0251165,AWG,9032099591,-,355.29,1,355.29,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
333727,C&S,9032100186,-,300.42,1,300.42,22-12-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
333719,C&S,9032100716,-,301.72,1,301.72,23-12-2022,-,Freight Allowance,-,Freight Allowance,Yes,1
623274,Kroger,9032128362,-,388.78,1,388.78,10/1/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032134465,-,154.22,1,154.22,6/1/2023,-,Freight Allowance,-,Freight Allowance,Yes,2
VEN0251192,AWG,9032134465,-,298.9,1,298.9,6/1/2023,-,Freight Allowance,-,Freight Allowance,Yes,2
623309,Kroger,9032149426,-,111.44,1,111.44,17-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Spartan Nash,9032155716,-,69.89,1,69.89,11/9/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9032178935,-,357.12,1,357.12,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
623305,Kroger,9032179772,-,184.81,1,184.81,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
2000001391 ,Costco,9032180500,-,155.79,1,155.79,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Gordon,9032181182,-,115.27,1,115.27,20-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
624076,Kroger,9032183589,-,154.82,1,154.82,26-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9032184607,-,381.79,1,381.79,26-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9032184608,-,383.15,1,383.15,26-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9032184718,-,384.48,1,384.48,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
623294,Kroger,9032185058,-,127,1,127,25-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9032187488,-,120.66,1,120.66,1/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
623386,Kroger,9032187498,-,160.17,1,160.17,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
623363,Kroger,9032188511,-,146.59,1,146.59,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
623356,Kroger,9032192459,-,129.43,1,129.43,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9032192747,-,388.8,1,388.8,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
625534,Kroger,9032192989,-,107.04,1,107.04,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
623379,Kroger,9032194157,-,117.91,1,117.91,30-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Kroger,9032199840,-,131.7,1,131.7,1/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032202309,-,153.91,1,153.91,20-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032203770,-,181.88,1,181.88,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
623401,Kroger,9032203828,-,202.24,1,202.24,1/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,Gordon,9032204116,-,59.23,1,59.23,26-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Gordon,9032204116,-,59.23,1,59.23,26-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
623418,Kroger,9032204248,-,239.94,1,239.94,2/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
625546,Kroger,9032204634,-,107.06,1,107.06,2/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
623409,Kroger,9032204636,-,183.86,1,183.86,2/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
625523,Kroger,9032204639,-,104.38,1,104.38,2/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032205004,-,65.28,1,65.28,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
VEN0251335 ,AWG,9032205004,-,151.9,1,151.9,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Gordon,9032205322,-,200.75,1,200.75,31-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,4
,Gordon,9032205322,-,164.48,1,164.48,26-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,4
,Gordon,9032205322,-,200.75,1,200.75,31-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,4
,Gordon,9032205322,-,164.48,1,164.48,26-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,4
,US Foods,9032205746,-,11.4,1,11.4,27-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
623402,Kroger,9032205951,-,122.87,1,122.87,2/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
623413,Kroger,9032205952,-,210.22,1,210.22,2/2/2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032206730,-,146.04,1,146.04,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,AWG,9032206730,-,74.64,1,74.64,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032207488,-,110.34,1,110.34,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032207488,-,110.34,1,110.34,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032207522,-,149.76,1,149.76,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032207522,-,149.76,1,149.76,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032207571,-,103.76,1,103.76,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032207571,-,103.76,1,103.76,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032207575,-,150.9,1,150.9,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032207575,-,150.9,1,150.9,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032207585,-,74.68,1,74.68,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032207585,-,74.68,1,74.68,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,2
,Publix,9032207965,-,353.72,1,353.72,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
,AWG,9032208943,-,302.98,1,302.98,23-01-2023,-,Freight Allowance,-,Freight Allowance,Yes,1
