concat,invoice_number,invoice_date,sku,billed_qty,gross_price,oi_deal,promo_allowance,cash_discount,freight_amount,others,net_price,gross_price_per_qty,net_price_per_qty,fuel_allowance,lane,freight_rate,freight_weight,gross_weight,total_freight,order_number,bol,carrier,freight_type,invoice_status
9112119739305217,9112119739,,305217,5,382.5,0,0,0,0,0,382.5,76.5,76.5,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739305219,9112119739,,305219,2,306,0,0,0,0,0,306,153,153,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739305489,9112119739,,305489,3,251.28,0,0,0,0,0,251.28,83.76,83.76,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739305764,9112119739,,305764,1,260.4,0,0,0,0,0,260.4,260.4,260.4,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739305787,9112119739,,305787,4,309.6,0,0,0,0,0,309.6,77.4,77.4,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739305829,9112119739,,305829,1,260.4,0,0,0,0,0,260.4,260.4,260.4,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739306610,9112119739,,306610,3,189.75,0,0,0,0,0,189.75,63.25,63.25,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739363083,9112119739,,363083,2,481.8,0,0,0,0,0,481.8,240.9,240.9,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739367203,9112119739,,367203,5,838,0,0,0,0,0,838,167.6,167.6,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739367281,9112119739,,367281,12,3408.48,0,0,0,0,0,3408.48,284.04,284.04,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739367283,9112119739,,367283,24,6816.96,0,0,0,0,0,6816.96,284.04,284.04,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739367298,9112119739,,367298,3,851.58,0,0,0,0,0,851.58,283.86,283.86,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739367856,9112119739,,367856,2,262.4,0,0,0,0,0,262.4,131.2,131.2,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739367861,9112119739,,367861,14,3474.8,0,0,0,0,0,3474.8,248.2,248.2,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739367960,9112119739,,367960,3,1235.7,0,0,0,0,0,1235.7,411.9,411.9,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739368607,9112119739,,368607,14,3030.72,0,0,0,0,0,3030.72,216.48,216.48,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739371073,9112119739,,371073,3,1088.01,0,0,0,0,0,1088.01,362.67,362.67,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739371163,9112119739,,371163,2,465.96,0,0,0,0,0,465.96,232.98,232.98,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739372053,9112119739,,372053,1,256.74,0,0,0,0,0,256.74,256.74,256.74,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
9112119739383313,9112119739,,383313,1,754,0,0,0,0,0,754,754,754,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
91121197392000E,9112119739,,2000E,5,670,0,0,0,0,0,670,134,134,,,,,,,33395621,6028507943,FEDEX CORP,,Yes
91116655521727171007,9111665552,,1727171007,7,372.4,0,0,0,0,0,372.4,53.2,53.2,,,,,,,32806698,Multiple,ROADTEX TRANSPORTATION,,Yes
911166555210010483,9111665552,,10010483,2,242,0,0,0,0,0,242,121,121,,,,,,,32806698,Multiple,ROADTEX TRANSPORTATION,,Yes
91116655522420-0500,9111665552,,2420-0500,3,294,0,0,0,0,0,294,98,98,,,,,,,32806698,Multiple,ROADTEX TRANSPORTATION,,Yes
