id,invoice_number,sku,deducted_amount,deducted_qty,deducted_price_per_qty,deduction_date,invoice_location,reason_code,sub_reason_code,deduction_reason
9111785290,9111785290,220244,1500,12,125,11/28/2023,,Shortage,,OSD
9111955082,9111955082,FP-23-AD008,445,1,445,1/10/2024,,Shortage,,OSD
9111955082,9111955082,LH-0029YN,1984,2,992,1/10/2024,,Shortage,,OSD
9111955082,9111955082,LH-0031,29184,32,912,1/10/2024,,Shortage,,OSD
9111955082,9111955082,LH-0031YN,67456,68,992,1/10/2024,,Shortage,,OSD
9111955082,9111955082,LH-0032,2736,3,912,1/10/2024,,Shortage,,OSD
9111955082,9111955082,LH-0032YN,992,1,992,1/10/2024,,Shortage,,OSD
9111955082,9111955082,VPPCSP,7010,2,3505,1/10/2024,,Shortage,,OSD
9111955082,9111955082,132015,1196,1,1196,1/10/2024,,Shortage,,OSD
9111955082,9111955082,632034,24780.8,32,774.4,1/10/2024,,Shortage,,OSD
9111955082,9111955082,651910,9891.2,11,899.2,1/10/2024,,Shortage,,OSD
9111955082,9111955082,652010,899.2,1,899.2,1/10/2024,,Shortage,,OSD
9111955082,9111955082,672034,4784,5,956.8,1/10/2024,,Shortage,,OSD
9111803969,9111803969,256045,82080,288,285,10/30/2023,,Shortage,,OSD
9112119739,9112119739,302995,696.8,13,53.6,1/8/2024,,Shortage,,OSD
9112119739,9112119739,303345,452,2,226,1/8/2024,,Shortage,,OSD
9112119739,9112119739,305017,116.84,2,58.42,1/8/2024,,Shortage,,OSD
9112119739,9112119739,305127,90,1,90,1/8/2024,,Shortage,,OSD
9112119739,9112119739,305195,320,5,64,1/8/2024,,Shortage,,OSD
9112119739,9112119739,305217,382.5,5,76.5,1/8/2024,,Shortage,,OSD
9112119739,9112119739,305219,306,2,153,1/8/2024,,Shortage,,OSD
9112119739,9112119739,305489,251.28,3,83.76,1/8/2024,,Shortage,,OSD
9112119739,9112119739,305764,260.4,1,260.4,1/8/2024,,Shortage,,OSD
9112119739,9112119739,305787,309.6,4,77.4,1/8/2024,,Shortage,,OSD
9112119739,9112119739,305829,260.4,1,260.4,1/8/2024,,Shortage,,OSD
9112119739,9112119739,306610,189.75,3,63.25,1/8/2024,,Shortage,,OSD
9112119739,9112119739,363083,481.8,2,240.9,1/8/2024,,Shortage,,OSD
9112119739,9112119739,367203,838,5,167.6,1/8/2024,,Shortage,,OSD
9112119739,9112119739,367281,3408.48,12,284.04,1/8/2024,,Shortage,,OSD
9112119739,9112119739,367283,6816.96,24,284.04,1/8/2024,,Shortage,,OSD
9112119739,9112119739,367298,851.58,3,283.86,1/8/2024,,Shortage,,OSD
9112119739,9112119739,367856,262.4,2,131.2,1/8/2024,,Shortage,,OSD
9112119739,9112119739,367861,3474.8,14,248.2,1/8/2024,,Shortage,,OSD
9112119739,9112119739,367960,1235.7,3,411.9,1/8/2024,,Shortage,,OSD
9112119739,9112119739,368607,3030.72,14,216.48,1/8/2024,,Shortage,,OSD
9112119739,9112119739,371073,1088.01,3,362.67,1/8/2024,,Shortage,,OSD
9112119739,9112119739,371163,465.96,2,232.98,1/8/2024,,Shortage,,OSD
9112119739,9112119739,372053,256.74,1,256.74,1/8/2024,,Shortage,,OSD
9112119739,9112119739,383313,754,1,754,1/8/2024,,Shortage,,OSD
9111665552,9111665552,367962,22614.2,58,389.9,10/10/2023,,Shortage,,OSD
9111664662,9111664662,326895,1101.6,54,20.4,9/26/2023,,Shortage,,OSD
9111664662,9111664662,328418,184.33,1,184.33,9/26/2023,,Shortage,,OSD
9111664662,9111664662,328438,184.33,1,184.33,9/26/2023,,Shortage,,OSD
9111664662,9111664662,328203,667.8,1,667.8,9/26/2023,,Shortage,,OSD
9111664662,9111664662,320109,3339,5,667.8,9/26/2023,,Shortage,,OSD
9111664662,9111664662,329515,665.84,1,665.84,9/26/2023,,Shortage,,OSD
9111664662,9111664662,328466,1105.98,6,184.33,9/26/2023,,Shortage,,OSD
9111664662,9111664662,320122,5342.4,8,667.8,9/26/2023,,Shortage,,OSD
9111664662,9111664662,320574,461.04,1,461.04,9/26/2023,,Shortage,,OSD
9111664662,9111664662,324906,245.44,2,122.72,9/26/2023,,Shortage,,OSD
9111664662,9111664662,320749,3339,5,667.8,9/26/2023,,Shortage,,OSD
9111664662,9111664662,320550,5342.4,8,667.8,9/26/2023,,Shortage,,OSD
9111905714,9111905714,320550,19366.2,29,667.8,11/24/2023,,Shortage,,OSD
9111686677,9111686677,320119,12020.4,18,667.8,10/2/2023,,Shortage,,OSD
9111772241,9111772241,306546,8505.6,40,212.64,10/24/2023,,Shortage,,OSD
9112030133,9112030133,256041,6840,24,285,12/11/2023,,Shortage,,OSD
9111973459,9111973459,305837,6249.6,24,260.4,12/11/2023,,Shortage,,OSD
9111452444,9111452444,320119,667.8,12,55.65,7/24/2023,,Shortage,,OSD
