concat,invoice_number,sku,order_number,bol,shortage,damage,return,overage,net_shortage,customer_sign,carrier_sign,subject_to_count,pod_found
22511367841,9111522511,367841,PR3262125,6027622946,0,0,0,0,0,Yes,Yes,No,Yes
12411363706,9111512411,363706,PR3258283,6027717334,0,0,0,0,0,Yes,Yes,No,Yes
18390367290,9111918390,367290,PR3349095,6028485233,0,0,0,0,0,No,Yes,No,Yes
18390301033,9111918390,301033,PR3349095,6028485233,0,0,0,0,0,No,Yes,No,Yes
99621306575,9100599621,306575,12062,6026338271,0,0,0,0,0,Yes,Yes,No,Yes
97728305211,9100597728,305211,36053,Multiple,0,0,0,0,0,No,NO,No,Yes
41475306546,9110541475,306546,8120602241,6025797558,0,0,0,0,0,Yes,Yes,No,Yes
633924292272,9111763392,4292272,C5632556NJB,6028178190,0,0,0,0,0,Yes,Yes,No,Yes
96038515079,9111896038,515079,4531709469,7116005346,0,0,0,0,0,Yes,Yes,No,Yes
96038B2951-96,9111896038,B2951-96,4531709469,7116005346,0,0,0,0,0,Yes,Yes,No,Yes
40261256041,9112040261,256041,4229660992,7115893063,0,0,0,0,0,No,No,No,Yes
25789305837,9112025789,305837,C5736174ROA,6028699505,0,0,0,0,0,Yes,Yes,No,Yes
25789302830,9112025789,302830,C5736174ROA,6028699505,0,0,0,0,0,Yes,Yes,No,Yes
25789309646,9112025789,309646,C5736174ROA,6028699505,0,0,0,0,0,Yes,Yes,No,Yes
25789309653,9112025789,309653,C5736174ROA,6028699505,0,0,0,0,0,Yes,Yes,No,Yes
88171320550,9110688171,320550,55822834,6026131624,0,0,0,0,0,Yes,No,No,Yes
2410450400000000000,9110624104,5.04E+13,PR3035005,6025944692,0,0,0,0,0,Yes,Yes,No,Yes
52444320119,9111452444,320119,291014794,6027588841,0,0,0,0,0,No,Yes,No,Yes
43611381434,9111743611,381434,4531637201,6028102255,0,0,0,0,0,No,Yes,No,Yes
82481362788,9110482481,362788,DR0210628,6025523371,0,0,0,0,0,Yes,Yes,No,Yes
3481211171447,9110734812,11171447,48445,6026206252,0,0,0,0,0,No,Yes,No,Yes
3481220022,9110734812,20022,48445,6026206252,0,0,0,0,0,No,Yes,No,Yes
36901ST218101,9111936901,ST218101,21502,6028464550,0,0,0,0,0,No,No,No,Yes
24495MP5301-C,9112024495,MP5301-C,31139,6028402961,0,0,0,0,0,No,Yes,No,Yes
04654306544,9110704654,306544,31207,6026045182,0,0,0,0,0,Yes,Yes,No,Yes
55579930299,9111455579,930299,21843,6027597649,0,0,0,0,0,Yes,No,No,Yes
03776671934,9111803776,671934,19711,6028289289,0,0,0,0,0,No,No,No,Yes
9058430654678,9110590584,30654678,4515598672,6025921777,0,0,0,0,0,Yes,Yes,No,Yes
65279305197,9111465279,305197,4516361062,6027616648,0,0,0,0,0,Yes,Yes,No,Yes
65279328466,9111465279,328466,4516361062,6027616648,0,0,0,0,0,Yes,Yes,No,Yes
65279329515,9111465279,329515,4516361062,6027616648,0,0,0,0,0,Yes,Yes,No,Yes
53286365974,9111753286,365974,4516600872,6027190109,0,0,0,0,0,Yes,Yes,No,Yes
53286367281,9111753286,367281,4516600872,6027190109,0,0,0,0,0,Yes,Yes,No,Yes
53286367290,9111753286,367290,4516600872,6027190109,0,0,0,0,0,Yes,Yes,No,Yes
53286367324,9111753286,367324,4516600872,6027190109,0,0,0,0,0,Yes,Yes,No,Yes
577324403A,9110057732,4403A,4515304729,6024894871,0,0,0,0,0,Yes,No,No,Yes
577324406,9110057732,4406,4515304729,6024894871,0,0,0,0,0,Yes,No,No,Yes
577324412A,9110057732,4412A,4515304729,6024894871,0,0,0,0,0,Yes,No,No,Yes
18049363083,9111618049,363083,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
1804936490200,9111618049,36490200,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049365978,9111618049,365978,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049367364,9111618049,367364,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049367365,9111618049,367365,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049368101,9111618049,368101,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049371073,9111618049,371073,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049381423,9111618049,381423,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049381534,9111618049,381534,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049383591,9111618049,383591,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049515078,9111618049,515078,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
1804910942011,9111618049,10942011,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
1804911088483,9111618049,11088483,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
1804911532269,9111618049,11532269,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
1804920558E,9111618049,20558E,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
180492477-0007,9111618049,2477-0007,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049367342,9111618049,367342,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049367344,9111618049,367344,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049367986,9111618049,367986,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
18049367871,9111618049,367871,4531584150,6027659075,0,0,0,0,0,Yes,Yes,No,Yes
50537306414,9110850537,306414,41712866,6026368892,0,0,0,0,0,Yes,Yes,No,Yes
0687350-7510 ,9109906873,50-7510 ,1002411155,6024555284,0,0,0,0,0,No,Yes,No,Yes
77475220518,9111877475,220518,PR3345864,6028438600,0,0,0,0,0,Yes,No,No,Yes
85290220244,9111785290,220244,PR3335236,7115757337,0,0,0,0,0,Yes,No,No,Yes
55082FP-23-AD008,9111955082,FP-23-AD008,33206039,6028508963,0,0,0,0,0,No,No,No,Yes
55082LH-0029YN,9111955082,LH-0029YN,33206039,6028508963,0,0,0,0,0,No,No,No,Yes
55082LH-0031,9111955082,LH-0031,33206039,6028508963,0,0,0,0,0,No,No,No,Yes
55082LH-0031YN,9111955082,LH-0031YN,33206039,6028508963,0,0,0,0,0,No,No,No,Yes
55082LH-0032,9111955082,LH-0032,33206039,6028508963,0,0,0,0,0,No,No,No,Yes
55082LH-0032YN,9111955082,LH-0032YN,33206039,6028508963,0,0,0,0,0,No,No,No,Yes
55082VPPCSP,9111955082,VPPCSP,33206039,6028508963,0,0,0,0,0,No,No,No,Yes
55082132015,9111955082,1.32E+05,33206039,6028508963,0,0,0,0,0,No,No,No,Yes
55082632034,9111955082,632034,33206039,6028508963,0,0,0,0,0,No,No,No,Yes
55082651910,9111955082,651910,33206039,6028508963,0,0,0,0,0,No,No,No,Yes
55082652010,9111955082,652010,33206039,6028508963,0,0,0,0,0,No,No,No,Yes
55082672034,9111955082,672034,33206039,6028508963,0,0,0,0,0,No,No,No,Yes
03969256045,9111803969,256045,33032328,6028212794,0,0,0,0,0,Yes,Yes,No,Yes
19739302995,9112119739,302995,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739303345,9112119739,303345,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739305017,9112119739,305017,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739305127,9112119739,305127,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739305195,9112119739,305195,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739305217,9112119739,305217,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739305219,9112119739,305219,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739305489,9112119739,305489,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739305764,9112119739,305764,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739305787,9112119739,305787,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739305829,9112119739,305829,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739306610,9112119739,306610,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739363083,9112119739,363083,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739367203,9112119739,367203,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739367281,9112119739,367281,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739367283,9112119739,367283,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739367298,9112119739,367298,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739367856,9112119739,367856,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739367861,9112119739,367861,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739367960,9112119739,367960,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739368607,9112119739,368607,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739371073,9112119739,371073,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739371163,9112119739,371163,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
19739372053,9112119739,372053,33395621,6028507943,0,0,0,0,0,No,Yes,No,Yes
