Receive Date,Return Date,Invoice Day,Transaction Type,Quantity,Net Receipts,Net Receipts Currency,List Price,List Price Currency,Rebate In Agreement Currency,Agreement Currency,Rebate In Purchase Order Currency,Purchase Order Currency,Purchase Order,Asin,UPC,EAN,Manufacturer,Distributor,Product Group,Category,Subcategory,Title,Product Description,Binding,Cost Currency,Old Cost,New Cost,Price Protection Agreement,Price Protection Day,Cost Variance,Invoice,Multi-Country Parent Agreement ID,Invoice ID,,,
30-09-2023,,,Distributor Shipment,15,801,USD,989.1,USD,160.2,USD,160.2,USD,3UR445QT,B0BFZMYY8J,,,CHR4B,C***B,325,32502500,32500844,"RXBAR Protein Bars, 12g Protein, Gluten Free Snacks, Mixed Berry (6 Boxes, 30 Bars)",,unknown_binding,,,,,,,,,6429-801766995,,,
06-09-2023,,,Distributor Shipment,10,183.4,USD,209.9,USD,36.68,USD,36.68,USD,4XT6JPRO,B07TQ99WFC,24100116881,24100116881,KEBF9,7***G,325,32504000,32504002,"Cheez-It Cheese Crackers, Baked Snack Crackers, Office and Kids Snacks, Variety Pack, 38oz Case (42 Pouches)",,unknown_binding,,,,,,,,,6429-801766995,,,
01-09-2023,,,Distributor Shipment,288,"5,598.72",USD,"8,040.96",USD,"1,119.74",USD,"1,119.74",USD,2TQVSRWY,B07ZKWRXWK,38000167775,38000167775,KEBF9,P***E,325,32502500,32502506,"Special K Pastry Crisps, Breakfast Bars, 100 Calorie Snacks, Strawberry (8 Boxes, 96 Crisps)",,grocery,,,,,,,,,6429-801766995,,,
21-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,5CFZ291B,B091MX9DJJ,38000124938,38000124938,B37JK,P***9,325,32502500,32502506,"Kellogg's Special K Protein Meal Bars, 12g Protein Snacks, Meal Replacement, Chocolatey Chip Cookie Dough, 19oz Box (12 Bars)",,unknown_binding,,,,,,,,,6429-801766995,,,
05-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,7LHH3R2X,B09Q6K5LDM,,,PUCC9,P***9,325,32504000,32504002,"Cheez-It Snap'd, Cheese Crackers Chips, Thin Crisps, Lunch Snacks, Variety Pack, 22.5oz Box (3 Bags)",,unknown_binding,,,,,,,,,6429-801766995,,,
08-08-2023,,05-08-2023,Cost Variance Distributor Shipment,88,,,,,-0.35,USD,-0.35,USD,7SZL3YUM,B0B9262TP3,,,CHR4B,C***B,325,32502500,32500844,"RXBAR Protein Bars, 12g Protein, Gluten Free Snacks, Variety Pack (5 Boxes, 25 Bars)",,unknown_binding,,,,,,-1.76,812621666,,6429-801766995,,,
29-09-2023,,,Distributor Shipment,142,"2,641.20",USD,"2,980.58",USD,528.24,USD,528.24,USD,75KMZQLK,B0BQNBGQRT,,,CHR4B,P***9,325,32502500,32502502,"RXBAR Protein Granola, 10g Protein, Breakfast Snacks, Original (3 Bags)",,unknown_binding,,,,,,,,,6429-801766995,,,
17-09-2023,,,Distributor Shipment,288,"5,598.72",USD,"8,040.96",USD,"1,119.74",USD,"1,119.74",USD,8EZD3KQJ,B07Z77HQCN,38000167706,38000167706,B37JK,P***E,325,32502500,32502506,"Special K Pastry Crisps, Breakfast Bars, 100 Calorie Snacks, Brown Sugar Cinnamon (8 Boxes, 96 Crisps)",,grocery,,,,,,,,,6429-801766995,,,
16-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,4W4A1VCB,B07TR6YVJL,,,KEUB1,P***E,325,32504000,32504002,"Keebler Sandwich Crackers, Single Serve Snack Crackers, Lunch Snacks, Variety Pack (45 Packs)",,unknown_binding,,,,,,,,,6429-801766995,,,
06-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,77Z4WBSC,B00WXWIJT2,,,KEBF9,K***Q,325,32504000,32504002,"Cheez-It Crackers, Original, 1.5oz (60 Count)",,unknown_binding,,,,,,,,,6429-801766995,,,
28-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,8V88AYEW,B09KMWCX72,1.93908E+11,1.93908E+11,CHR4B,C***B,325,32502500,32500844,"RXBAR A.M. Protein Bars, Protein Snack, Breakfast Bars, Honey Cinnamon Peanut Butter, 23.2Oz Box (12 Bars)",,unknown_binding,,,,,,,,,6429-801766995,,,
02-09-2023,,,Distributor Shipment,3,47.91,USD,53.97,USD,9.58,USD,9.58,USD,5Z4QXZKH,B07TR6YVJL,,,KEUB1,P***E,325,32504000,32504002,"Keebler Sandwich Crackers, Single Serve Snack Crackers, Lunch Snacks, Variety Pack (45 Packs)",,unknown_binding,,,,,,,,,6429-801766995,,,
30-09-2023,,,Distributor Shipment,4,90.96,USD,134.16,USD,18.19,USD,18.19,USD,75KMZQLK,B000M2SYPO,,,KEBF9,P***9,325,32504000,32504002,"Kellogg's Toasteds Crackers, Ready to Dip Snacks, Party Snacks, Savory Onion (6 Boxes)",,grocery,,,,,,,,,6429-801766995,,,
05-09-2023,,,Distributor Shipment,37,408.48,USD,661.56,USD,81.7,USD,81.7,USD,5953YIEI,B00C3YAEY8,38000845574,38000845574,KEBF9,K***5,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, Office and Kids Snacks, Grab N' Go, Original (12 Cans)",,unknown_binding,,,,,,,,,6429-801766995,,,
12-09-2023,,,Distributor Shipment,12,195.84,USD,215.88,USD,39.17,USD,39.17,USD,7WO38HYU,B093ZNRHXD,,,PUCC9,7***G,325,32502500,32500843,"Pure Organic Layered Fruit Bars, Gluten Free, Vegan Fruit Snacks, Pineapple Passionfruit (2 Boxes, 24 Bars)",,unknown_binding,,,,,,,,,6429-801766995,,,
15-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,8SCD8G3O,B000Y2WPKC,38000845604,38000845604,KEBF9,K***5,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, Office and Kids Snacks, Grab N' Go, Sour Cream and Onion (12 Cans)",,grocery,,,,,,,,,6429-801766995,,,
05-09-2023,,,Distributor Shipment,39,430.56,USD,697.32,USD,86.11,USD,86.11,USD,5953YIEI,B00C3YAF7O,38000845550,38000845550,KEBF9,K***5,325,32504000,32504001,"Pringles Potato Crisps Chips, Lunch Snacks, Office and Kids Snacks, Grab N' Go, Sour Cream and Onion (12 Cans)",,unknown_binding,,,,,,,,,6429-801766995,,,
17-07-2023,,22-07-2023,Cost Variance Distributor Shipment,145,,,,,-0.29,USD,-0.29,USD,57U4G9SO,B0BG8P6KNZ,1.93908E+11,1.93908E+11,CHR4B,C***B,325,32502500,32500844,"RXBAR A.M. Protein Bars, Gluten Free Snacks, Breakfast Snacks, Blueberry (6 Boxes, 30 Bars)",,unknown_binding,,,,,,-1.45,806220053,,6429-801766995,,,
29-09-2023,,,Distributor Shipment,"4,128","65,924.16",USD,"82,518.72",USD,"13,184.83",USD,"13,184.83",USD,5SLPOJJE,B07TN3C2HD,,,KEBF9,P***9,325,32504000,32504002,"Cheez-It Cheese Crackers, Baked Snack Crackers, Office and Kids Snacks, Original, 40oz Case (40 Pouches)",,unknown_binding,,,,,,,,,6429-801766995,,,
28-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,3B9KKZOP,B09WX8RYGN,1.93908E+11,1.93908E+11,CHR4B,C***B,325,32502500,32500844,"RXBAR A.M. Protein Bars, Gluten Free Snacks, Breakfast Snacks, Blueberry, 23.2oz Box (12 Bars)",,unknown_binding,,,,,,,,,6429-801766995,,,
14-06-2023,,17-06-2023,Cost Variance Distributor Shipment,3,,,,,0,USD,0,USD,4JF69FJL,B01M6THM7P,8.57777E+11,8.57777E+11,CHR4B,C***B,325,32502500,32500844,"RXBAR Protein Bars, Protein Snack, Snack Bars, Mixed Berry, 22oz Box (12 Bars)",,grocery,,,,,,0,810948149,,6429-801766995,,,
20-07-2023,,26-07-2023,Cost Variance Distributor Shipment,46,,,,,0,USD,0,USD,1SDDFV1F,B07LC7HSZN,8.5803E+11,8.5803E+11,AU0O4,C***B,325,32502500,32500849,"RX Nut Butter Peanut Butter, Chocolate, Delicious Flavor, 11.3Oz Box (10 Count)",,unknown_binding,,,,,,0,809026907,,6429-801766995,,,
24-08-2023,,29-06-2023,Cost Variance Distributor Shipment,1,,,,,-0.04,USD,-0.04,USD,3NFW34HK,B0BHXHND8P,,,CHR4B,C***B,325,32502500,32500844,"RXBAR Protein Bars, 12g Protein, Gluten Free Snacks, Chocolate Chip (6 Boxes, 30 Bars)",,unknown_binding,,,,,,-0.19,826756781,,6429-801766995,,,
14-09-2023,,,Distributor Shipment,0,0,USD,0,USD,0,USD,0,USD,8IS9L87X,B07TR6YVJL,,,KEUB1,P***E,325,32504000,32504002,"Keebler Sandwich Crackers, Single Serve Snack Crackers, Lunch Snacks, Variety Pack (45 Packs)",,unknown_binding,,,,,,,,,6429-801766995,,,
